,Arista,Angulo1,Angulo2,Dist
0,"('v0', 'v1')",-143.74089122392076,36.258754296983625,104.84858395397923
1,"('v1', 'v2')",-143.69059237568183,36.30896561612107,130.58632077545755
2,"('v2', 'v3')",-56.05144513275087,123.94688588331934,351.96343896922787
3,"('v3', 'v4')",-54.811271260446446,125.1865525043026,465.79230911505203
4,"('v4', 'v5')",-53.868156668079436,126.13096308482949,190.6317726819938
5,"('v5', 'v6')",-57.423490436934514,122.57590572667056,125.33374629653085
6,"('v6', 'v7')",-55.427060405143386,124.57172828727325,257.29500997272754
7,"('v7', 'v8')",-54.362656780897694,125.63644466605339,193.36306881126418
8,"('v8', 'v9')",-55.491512145517284,124.5065622537759,408.65765401995486
9,"('v9', 'v10')",-144.69612919334145,35.30381747777179,16.137341349785007
10,"('v10', 'v11')",-144.6653684595221,35.33161369638111,912.6622911680246
11,"('v11', 'v12')",-110.28153472344907,69.71826929282606,36.547921321686715
12,"('v12', 'v13')",-96.63742170007528,83.3605050018723,365.1178047184089
13,"('v13', 'v14')",-95.26395067131514,84.73499287324299,185.58427160846693
14,"('v14', 'v15')",-95.1527505205567,84.84667559415618,100.79524209563331
15,"('v15', 'v16')",-6.808169562704132,173.19174234953388,129.9794229963773
16,"('v16', 'v17')",-103.57626927532732,76.42118762751909,457.6341380548704
17,"('v17', 'v18')",-103.4573639840262,76.5416366660902,179.74887879629213
18,"('v18', 'v19')",-70.13312195355223,109.8667044032195,32.29720043250169
19,"('v19', 'v20')",-53.8607905629856,126.13816756124093,225.66914299639126
20,"('v20', 'v21')",-148.66134408560566,31.33710108599942,522.9749084714177
21,"('v21', 'v22')",140.82284338285484,-39.176859792024345,82.20295681641402
22,"('v22', 'v23')",113.12374186009208,-66.8750593363866,228.05782317531487
23,"('v23', 'v24')",-170.7851727006127,9.21473796885482,97.59938494494558
24,"('v24', 'v25')",92.93231533448441,-87.06748871388642,34.3289954394192
25,"('v25', 'v26')",47.24448661185191,-132.75502638608577,116.04281463198636
26,"('v26', 'v27')",15.933909233897213,-164.06579394464003,189.1567675849157
27,"('v27', 'v19')",6.895770687410277,-173.1040189306183,306.52918521452654
28,"('v19', 'v18')",109.8667044032195,-70.13312195355223,32.29720043250169
29,"('v18', 'v17')",76.5416366660902,-103.4573639840262,179.74887879629213
30,"('v17', 'v16')",76.42118762751909,-103.57626927532732,457.6341380548704
31,"('v16', 'v15')",173.19174234953388,-6.808169562704137,129.9794229963773
32,"('v15', 'v14')",84.84667559415618,-95.1527505205567,100.79524209563331
33,"('v14', 'v13')",84.73499287324299,-95.26395067131514,185.58427160846693
34,"('v13', 'v12')",83.3605050018723,-96.63742170007528,365.1178047184089
35,"('v12', 'v28')",112.98302415439599,-67.01680508153049,32.44617973359229
36,"('v28', 'v11')",9.876402889951393,-170.12357189097122,25.718868374185107
37,"('v11', 'v10')",35.331613696381126,-144.6653684595221,912.6622911680246
38,"('v10', 'v29')",124.49587852697496,-55.50219592682896,408.5955738827554
39,"('v29', 'v30')",124.70936503094146,-55.28972175511515,194.29061546468202
40,"('v30', 'v31')",-145.60298454771674,34.394929268681295,645.9488840427348
41,"('v31', 'v32')",108.50211416725922,-71.49649601153126,256.3774759429823
42,"('v32', 'v33')",129.40607100444038,-50.59318978122988,167.36522369188353
43,"('v33', 'v34')",117.87726949632554,-62.12253183516957,39.31832804536463
44,"('v34', 'v35')",-163.0724041130222,16.9272800496567,189.775509231514
45,"('v35', 'v36')",-162.43642279332263,17.5629127363419,385.2712451532246
46,"('v36', 'v37')",-150.91856498075703,29.081196579225434,85.83836853826048
47,"('v37', 'v38')",-138.9051779774312,41.0928893995827,514.5240473482547
48,"('v38', 'v39')",-139.26279624800767,40.7366246483345,155.30114027072702
49,"('v39', 'v40')",-161.99771726360157,18.00090715593845,779.0900838158195
50,"('v40', 'v41')",119.62685865294185,-60.373000201044505,28.424688466088668
51,"('v41', 'v42')",121.65026803461012,-58.34832053426746,290.26047997427696
52,"('v42', 'v43')",-148.3070549660776,31.692187504254406,252.44101951686088
53,"('v43', 'v44')",-163.02319477609566,16.976078715352884,435.66812785496916
54,"('v44', 'v45')",105.17222579269342,-74.82669350702461,196.07203777883285
55,"('v45', 'v44')",-74.82669350702461,105.17222579269342,196.07203777883285
56,"('v44', 'v43')",16.976078715352894,-163.02319477609566,435.66812785496916
57,"('v43', 'v42')",31.692187504254402,-148.3070549660776,252.44101951686088
58,"('v42', 'v41')",-58.348320534267465,121.65026803461012,290.26047997427696
