,0,1
0,43.02445,-19.665989
1,-23.10151,-28.569212
2,5.213762,-44.859337
3,12.523557,-69.15132
4,-23.170275,-48.023727
5,15.479511,-28.624416
6,29.93924,-13.71213
7,37.670387,3.5092494
8,85.95055,6.1575356
9,54.98923,2.4800315
10,-48.41536,45.497185
11,-42.184372,49.899208
12,-12.975858,75.4125
13,17.79059,-58.55804
14,2.212839,73.04675
15,-17.2314,3.9003947
16,-15.399961,-0.3150162
17,-13.34855,-6.0019326
18,-11.56387,-11.53223
19,-23.203997,-42.285465
20,48.305084,49.49214
21,51.37086,49.567932
22,51.88576,49.889744
23,52.03368,49.973076
24,52.052574,49.983162
25,52.055527,49.984993
26,52.05434,49.984104
27,54.398643,-28.709913
28,24.63955,-10.7084
29,46.479996,-48.78013
30,8.434579,-46.560432
31,6.874853,-45.70668
32,-17.044281,73.04114
33,13.993763,-69.43381
34,5.8830094,-45.469795
35,6.466007,-45.324635
36,9.828237,-48.555622
37,-58.558586,-44.973072
38,-56.72484,-48.316097
39,68.865135,-20.254221
40,37.63043,3.6656358
41,-52.194443,44.602264
42,3.0210192,7.751682
43,0.50945324,19.147945
44,-24.830872,-22.629395
45,44.83455,-17.462141
46,-58.578163,-44.947224
47,-56.687862,-48.379402
48,40.811195,-53.710632
49,21.988913,-66.15879
50,-47.504543,-27.860025
51,45.996536,-49.8333
52,-25.90824,-42.992054
53,56.097164,-28.929647
54,-20.108786,34.792397
55,-15.470646,42.0704
56,-22.54242,-28.259695
57,-25.201574,-21.446697
58,28.186646,-4.6234746
59,-24.529491,-48.237865
60,29.940361,-13.6568775
61,21.189766,-3.7881646
62,83.740715,2.013994
63,35.249165,-1.3366073
64,66.15707,-23.01698
65,33.723988,12.1005535
66,47.512825,-25.686901
67,-0.4367447,47.21807
68,20.717468,-63.91477
69,85.42543,5.1859145
70,29.893345,-12.884193
71,37.42923,2.989124
72,-53.791245,44.506035
73,22.194204,-30.687508
74,22.173569,-30.76909
75,21.992723,-31.187101
76,22.173975,-30.771482
77,21.992334,-31.188818
78,21.992332,-31.18883
79,21.992334,-31.18883
80,55.0287,4.1717625
81,22.87848,-31.331984
82,85.59813,5.4881063
83,45.285748,4.1229167
84,29.861128,-12.406019
85,-25.272112,-23.10816
86,49.04772,-20.904465
87,-25.15649,-42.661926
88,-23.277203,-48.02241
89,17.813025,-29.414871
90,17.814936,-29.41566
91,17.815151,-29.415743
92,29.937263,-13.616288
93,35.31245,-1.2433882
94,55.647953,3.5216174
95,14.293891,-28.228876
96,14.293887,-28.228874
97,84.31997,3.098089
98,53.10757,6.0267296
99,-82.1634,1.0393963
100,-82.1634,1.0393963
101,45.125923,-51.02442
102,13.908227,-69.41828
103,3.9135172,52.255875
104,-2.6102898,78.5444
105,13.954974,-74.47594
106,-23.67433,69.98926
107,21.161644,-64.67833
108,18.872923,-61.3816
109,-17.746414,74.82864
110,7.821504,-46.537468
111,9.296098,-47.999657
112,-0.9099472,75.99923
113,-19.205639,35.913116
114,-19.363506,35.607433
115,-19.552696,35.33144
116,3.4940166,55.960632
117,17.554045,-58.646347
118,-17.49849,74.133064
119,-43.93218,46.95251
120,17.806183,2.9954941
121,14.882443,-69.63155
122,25.582651,-10.27087
123,-42.44865,49.01095
124,-4.5520144,77.346504
125,6.8483915,-45.70199
126,2.1054614,-43.426456
127,4.0522676,59.07127
128,-9.233155,77.32982
129,-9.543365,-16.347633
130,-6.7280717,-20.40801
131,-0.26032242,-23.670544
132,33.660194,-3.15118
133,-22.053839,71.01738
134,3.895424,72.70201
135,-22.1345,-28.390388
136,16.728067,-29.04624
137,29.950659,-13.871306
138,56.32873,2.9018002
139,77.001785,-9.596922
140,-25.602657,-19.374252
141,-46.02225,-9.509647
142,50.959305,8.078099
143,83.24762,1.093251
144,50.807022,7.8699927
145,49.231773,9.323604
146,-52.030354,-25.24084
147,-51.836002,-24.939138
148,82.025925,-1.1173124
149,34.34864,-2.3963783
150,-27.335764,-18.917585
151,49.04772,-20.904339
152,-26.399698,-44.623062
153,-83.212776,1.1655121
154,-83.108604,0.84255075
155,24.044586,-31.924719
156,85.685135,5.6608076
157,55.207176,3.9842465
158,23.33822,-31.57492
159,23.33822,-31.57492
160,23.33822,-31.57492
161,23.33822,-31.57492
162,85.63307,5.567372
163,-21.78438,-36.96573
164,-23.290943,-45.827366
165,16.100243,-28.628557
166,46.373302,-49.050068
167,8.027692,-45.666824
168,72.7301,29.464123
169,28.221333,-4.9335775
170,-36.517197,50.423893
171,29.87671,-12.633031
172,28.203815,-4.6369286
173,-26.770365,-48.92094
174,77.35832,-9.056987
175,41.19016,13.389956
176,-38.117805,7.1982894
177,-38.1178,7.1983004
178,-38.117805,7.198302
179,-38.117805,7.198302
180,-38.117805,7.198302
181,-38.117805,7.198302
182,50.98774,8.049557
183,-42.48354,-31.150274
184,-42.47708,-31.155243
185,-42.476562,-31.155594
186,-42.47611,-31.155933
187,-42.476097,-31.15594
188,83.26676,1.1261197
189,50.84044,7.8470416
